Type,Project,ModelBalance,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
within,flakeflaggertotal,randomForestBorderlineSMOTE,8962.0,153.0,238.0,432.0,0.7412217248650481,0.6447761194029851,0.9600398762561856,0.05978618472586902,0.6888504638050122,0.6699092776144899,0.9495880356867232
within,flakeflaggertotal,randomForestSMOTE,8957.0,158.0,224.0,446.0,0.7404767880954248,0.6656716417910448,0.9609597038838095,0.06172788058429472,0.7005926797274127,0.6811561917716029,0.9493449804605145
within,flakeflaggertotal,randomForestnearmissunder1,2591.0,6524.0,78.0,592.0,0.08320994861466227,0.8835820895522387,0.32529687862285916,0.7272325167996223,0.1520845731755316,0.0953628785375062,0.7533279174351823
within,flakeflaggertotal,randomForestrandomunder,7941.0,1174.0,91.0,579.0,0.33302477412863263,0.864179104477612,0.8707197779128573,0.17915384631452738,0.479994414156556,0.48608182100829167,0.9339587431006043
within,flakeflaggertotal,randomForestrandomover,8942.0,173.0,221.0,449.0,0.7217517587606761,0.6701492537313433,0.9597336500038643,0.06356701362560603,0.6946849323784747,0.6738733991016682,0.9301678739800907
within,flakeflaggertotal,randomForest,9024.0,91.0,284.0,386.0,0.8116726374080722,0.5761194029850747,0.9616753458622902,0.04874877540831908,0.672309895668296,0.6642806696212739,0.9437610202425389
within,flakeflaggertotal,randomForestnearmissunder2,1354.0,7761.0,49.0,621.0,0.0741440615115757,0.926865671641791,0.20183881971294942,0.85661874831586,0.1372987281817775,0.05347790655166003,0.6594319362730514
within,flakeflaggertotal,randomForestADASYN,8964.0,151.0,251.0,419.0,0.7362815739541222,0.6253731343283583,0.9589157585366312,0.058253695708028096,0.6750588552455824,0.6564774191227347,0.947517770534065
within,flakeflaggertotal,randomForestnearmissunder3,5992.0,3123.0,131.0,539.0,0.14802435636365482,0.8044776119402985,0.667448420929499,0.3742477508245758,0.24989403231674628,0.2417151434597204,0.8171681330622294
within,flakeflaggertotal,SVMBorderlineSMOTE,7043.0,2072.0,288.0,382.0,0.15816633122737905,0.5701492537313432,0.758805571396045,0.2508009717356929,0.24668066276138917,0.2016049284790476,0.7500015269714172
within,flakeflaggertotal,SVMSMOTE,7066.0,2049.0,287.0,383.0,0.15916753612939213,0.5716417910447762,0.761260916882341,0.2485499163413274,0.24849921658172097,0.20395851372131063,0.7556660466084851
within,flakeflaggertotal,SVMrandomover,7137.0,1978.0,295.0,375.0,0.16108153651795035,0.5597014925373134,0.7676993969473462,0.24047627999857957,0.24949317948039096,0.2037699229297206,0.7567108112306915
within,flakeflaggertotal,SVM,9103.0,12.0,641.0,29.0,0.8,0.043283582089552235,0.9332654455215976,0.004189722411959953,0.08095114742455127,0.17006462465058694,0.742076660288597
within,flakeflaggertotal,SVMADASYN,6541.0,2574.0,260.0,410.0,0.13843589034351286,0.6119402985074627,0.7103643799962819,0.304966254535428,0.22518390560208804,0.18168928968872067,0.7322258299466904
within,flakeflaggertotal,adaboostBorderlineSMOTE,7252.0,1863.0,206.0,464.0,0.19972298946106354,0.6925373134328359,0.7885489972447993,0.23781789773380044,0.3098767606747087,0.2898078979255373,0.8199652527773635
within,flakeflaggertotal,adaboostSMOTE,7313.0,1802.0,192.0,478.0,0.2104399314475504,0.7134328358208955,0.7962121734335149,0.2330168716878581,0.3246542474073618,0.30867326371412895,0.8376946053213624
within,flakeflaggertotal,adaboostrandomover,7132.0,1983.0,170.0,500.0,0.20210951042348735,0.7462686567164178,0.7799648445577997,0.2537612980985146,0.3176516784876575,0.3074047471192353,0.8467065418186094
within,flakeflaggertotal,adaboost,9089.0,26.0,597.0,73.0,0.7483658008658008,0.10895522388059702,0.9363316768707269,0.010117895018287932,0.18825833128272154,0.26680649823850294,0.8473620365156712
within,flakeflaggertotal,adaboostADASYN,7490.0,1625.0,276.0,394.0,0.19523537187779882,0.5880597014925373,0.8057184514894586,0.20634270602906435,0.29268051863328964,0.25573036779236125,0.8054090941459437
within,flakeflaggertotal,MLPBorderlineSMOTE,7040.0,2075.0,168.0,502.0,0.19787057820094628,0.7492537313432835,0.7707770125602897,0.2633593813644824,0.31219671181056025,0.3014795042779483,0.834985949347951
within,flakeflaggertotal,MLPSMOTE,7037.0,2078.0,161.0,509.0,0.19688703523934975,0.7597014925373134,0.7711790128485517,0.26438594952071204,0.3125023658280909,0.3046226659682287,0.8478423777107874
within,flakeflaggertotal,MLPrandomover,7075.0,2040.0,164.0,506.0,0.2004578319906356,0.755223880597015,0.7747618182235952,0.26019069164102593,0.31638093222285213,0.30722687534255827,0.8497587088748872
